"Time","Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","FlightType","Routing","Waypoint","RoutingType","Scenario"
"06:23:39","IBK480","EFHK","LDSP",841.2,222.89999,"B738(MEDIUM)","IFR","KOPRY_LDSP.1","KOPRY","Arrival","Current"
"06:24:07","IBK5690","LEBL","LDDU",580.15,181.39999,"B738(MEDIUM)","IFR","KATTI_LDDU","KATTI","Arrival","Current"
"06:24:29","RA02787","LYPG","LSGG",451.2,361.5,"PRM1(MEDIUM)","IFR","LYPG_PREVAL","PREVAL","Departure","Current"
"06:27:50","EZY45AN","LFLL","LDDU",1193.37,253.60001,"A319(MEDIUM)","IFR","TORPO_LDDU","TORPO","Arrival","Current"
"06:30:58","ENT990","LFPG","LDDU",1387.5,330.70001,"B738(MEDIUM)","IFR","LABIN_LDDU.1","LABIN","Arrival","Current"
"06:31:32","BUC8652#2","LDZD","LICC",1603.38,127.6,"MD82(MEDIUM)","IFR","LDZD_XAMIT","XAMIT","Departure","Current"
"06:34:27","LOT8242","LDRI","EETN",900.12,107.4,"CRJ9(MEDIUM)","IFR","LDRI_ALIVO","ALIVO","Departure","Current"
"06:35:31","SAS7497","ENZV","LDSP",684.08,209.10001,"B737(MEDIUM)","IFR","DARZA_LDSP","DARZA","Arrival","Current"
"06:37:12","CTN76H","LDSP","LSZH",943.42,249,"DH8D(MEDIUM)","IFR","LDSP_ROTAR.1","ROTAR 1","Departure","Current"
"06:39:17","VLG1280","LEBL","LDZA",707.12,191.3,"A320(MEDIUM)","IFR","LABIN_LDZA","LABIN","Arrival","Current"
"06:39:59","CTN374","LDZA","LEBL",907.93,114.1,"CRJ9(MEDIUM)","IFR","LDZA_PODET","PODET","Departure","Current"
"06:40:10","SCW13X","EKCH","LDSP",941.98,222.8,"RJ1H(MEDIUM)","IFR","KOPRY_LDSP.1","KOPRY","Arrival","Current"
"06:41:36","CSA6902","LOWW","LDSB",512.13,214.7,"AT75(MEDIUM)","IFR","KOPRY_LDSB","KOPRY","Arrival","Current"
"06:41:37","CTN422","LDSP","EDDL",1939.58,242.7,"A319(MEDIUM)","IFR","LDSP_PEVAL.1","PEVAL 1","Departure","Current"
"06:41:45","ASL20P","LYBE","LDZA",317.15,198.2,"AT72(MEDIUM)","IFR","TUVAR_LDZA","TUVAR","Arrival","Current"
"06:42:50","DMVLW","LJMB","LDSB",NA,NA,"DA40(SHORT)","VFR","LJMB_LDSB",NA,"Domestic","Current"
"06:43:04","SCW5D","ESGG","LDSP",913.38,216.3,"RJ1H(MEDIUM)","IFR","DARZA_LDSP","DARZA","Arrival","Current"
"06:44:00","FGNBN","LJLJ","LDRI",0,70.7,"C162(MEDIUM)","VFR","ALIVO_LDRI","ALIVO","Arrival","Current"
