"Sector","Count","FlightTypes","Scenario","Runway","Run"
"CTR_ZAGREB",1,"IFR & VFR","PBN","1","1"
"CTR_ZAGREB",4,"IFR & VFR","PBN","1","2"
"CTR_ZAGREB",2,"IFR & VFR","PBN","1","3"
"CTR_ZAGREB",3,"IFR & VFR","PBN","1","4"
"CTR_ZAGREB",1,"IFR & VFR","PBN","1","5"
"CTR_ZAGREB",2,"IFR & VFR","PBN","2","1"
"CTR_ZAGREB",1,"IFR & VFR","PBN","2","2"
"CTR_ZAGREB",2,"IFR & VFR","PBN","2","3"
"CTR_ZAGREB",5,"IFR & VFR","PBN","2","4"
"CTR_ZAGREB",4,"IFR & VFR","PBN","2","5"
"CTR_ZAGREB",1,"Military","Current","1","2"
"CTR_ZAGREB",1,"Military","Current","1","3"
"CTR_ZAGREB",1,"Military","Current","1","4"
"CTR_ZAGREB",1,"Military","Current","2","1"
"CTR_ZAGREB",5,"Military","Current","2","4"
"CTR_ZAGREB",1,"Military","PBN","1","1"
"CTR_ZAGREB",1,"Military","PBN","1","2"
"CTR_ZAGREB",1,"Military","PBN","1","3"
"CTR_ZAGREB",2,"Military","PBN","1","4"
"CTR_ZAGREB",1,"Military","PBN","2","2"
"CTR_ZAGREB",2,"Military","PBN","2","3"
"CTR_ZAGREB",2,"Military","PBN","2","4"
"CTR_ZAGREB",3,"Military","PBN","2","5"
"LQBT_FIR",1,"IFR & VFR","PBN","1","1"
"LQSB_FIR",2,"Both IFR","Current","1","2"
"LQSB_FIR",2,"Both IFR","Current","1","3"
"LQSB_FIR",1,"Both IFR","Current","1","4"
"LQSB_FIR",1,"Both IFR","Current","1","5"
"LQSB_FIR",3,"Both IFR","Current","2","1"
"LQSB_FIR",2,"Both IFR","Current","2","2"
"LQSB_FIR",2,"Both IFR","Current","2","4"
"LQSB_FIR",1,"Both IFR","PBN","1","2"
"LQSB_FIR",1,"Both IFR","PBN","2","1"
"LQSB_FIR",3,"Both IFR","PBN","2","2"
"LQSB_FIR",2,"Both IFR","PBN","2","3"
"LQSB_FIR",1,"Both IFR","PBN","2","4"
"LQSB_FIR",2,"Both IFR","PBN","2","5"
"OUTSIDE_FIR_E",2,"Both IFR","Current","1","1"
"OUTSIDE_FIR_E",3,"Both IFR","Current","1","2"
"OUTSIDE_FIR_E",1,"Both IFR","Current","1","3"
"OUTSIDE_FIR_E",2,"Both IFR","Current","1","4"
"OUTSIDE_FIR_E",3,"Both IFR","Current","1","5"
"OUTSIDE_FIR_E",2,"Both IFR","Current","2","1"
"OUTSIDE_FIR_E",3,"Both IFR","Current","2","2"
"OUTSIDE_FIR_E",1,"Both IFR","Current","2","3"
"OUTSIDE_FIR_E",2,"Both IFR","Current","2","4"
"OUTSIDE_FIR_E",1,"Both IFR","Current","2","5"
"OUTSIDE_FIR_E",3,"Both IFR","PBN","1","1"
"OUTSIDE_FIR_E",2,"Both IFR","PBN","1","2"
"OUTSIDE_FIR_E",3,"Both IFR","PBN","1","3"
"OUTSIDE_FIR_E",4,"Both IFR","PBN","1","4"
"OUTSIDE_FIR_E",2,"Both IFR","PBN","1","5"
"OUTSIDE_FIR_E",2,"Both IFR","PBN","2","1"
"OUTSIDE_FIR_E",2,"Both IFR","PBN","2","2"
"OUTSIDE_FIR_E",3,"Both IFR","PBN","2","4"
"OUTSIDE_FIR_E",2,"Both IFR","PBN","2","5"
"OUTSIDE_FIR_E",1,"Both VFR","Current","1","1"
"OUTSIDE_FIR_E",1,"Both VFR","Current","1","3"
"OUTSIDE_FIR_E",2,"Both VFR","Current","1","4"
"OUTSIDE_FIR_E",1,"Both VFR","Current","1","5"
"OUTSIDE_FIR_E",1,"Both VFR","Current","2","1"
"OUTSIDE_FIR_E",1,"Both VFR","Current","2","3"
"OUTSIDE_FIR_E",1,"Both VFR","Current","2","4"
"OUTSIDE_FIR_E",1,"Both VFR","PBN","1","1"
"OUTSIDE_FIR_E",1,"Both VFR","PBN","1","4"
"OUTSIDE_FIR_E",1,"Both VFR","PBN","2","1"
"OUTSIDE_FIR_E",1,"Both VFR","PBN","2","5"
"OUTSIDE_FIR_E",1,"IFR & VFR","Current","1","3"
