"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDZA","Current","Arrival","PETOV",1304.63
"LDDU","PBN","Arrival","PETOV",8984.36
"LDPL","PBN","Arrival","PETOV",578.47
"LDZA","PBN","Arrival","PETOV",1304.63
"LDSB","Current","Departure","PETOV",695.97
"LDSP","Current","Departure","PETOV",31662.48
"LDSB","PBN","Departure","PETOV",695.97
"LDSP","PBN","Departure","PETOV",31662.48
"LDDU","Current","Arrival","PEVAL",9963.02
"LDPL","Current","Arrival","PEVAL",707.43
"LDSB","Current","Arrival","PEVAL",2961.93
"LDSP","Current","Arrival","PEVAL",2252.06
"LDZD","Current","Arrival","PEVAL",3075.13
"LDDU","PBN","Arrival","PEVAL",9963.02
"LDPL","PBN","Arrival","PEVAL",707.43
"LDSB","PBN","Arrival","PEVAL",2961.93
"LDSP","PBN","Arrival","PEVAL",2252.06
"LDZD","PBN","Arrival","PEVAL",3075.13
"LDPL","Current","Departure","PEVAL",19247.6
"LDPL","PBN","Departure","PEVAL",19247.6
"LDDU","Current","Departure","PEVAL 1",22326.36
"LDSB","Current","Departure","PEVAL 1",3957.28
"LDSP","Current","Departure","PEVAL 1",36260.05
"LDZD","Current","Departure","PEVAL 1",18618.73
"LDDU","PBN","Departure","PEVAL 1",22326.36
"LDSB","PBN","Departure","PEVAL 1",3957.28
"LDSP","PBN","Departure","PEVAL 1",36260.05
"LDZD","PBN","Departure","PEVAL 1",18618.73
"LDZA","Current","Departure","PODET",10678.12
"LDZA","PBN","Departure","PODET",10678.12
"LDZA","Current","Departure","PODOB",875.57
"LDZA","PBN","Departure","PODOB",875.57
"LDDU","Current","Arrival","ROTAR",3133.41
"LDPL","Current","Arrival","ROTAR",2153.95
"LDSP","Current","Arrival","ROTAR",1388.68
"LDDU","PBN","Arrival","ROTAR",3133.41
"LDPL","PBN","Arrival","ROTAR",2153.95
"LDSP","PBN","Arrival","ROTAR",1388.68
"LDDU","Current","Departure","ROTAR",26365.86
"LDSB","Current","Departure","ROTAR",1744.23
"LDZA","Current","Departure","ROTAR",5413.24
"LDDU","PBN","Departure","ROTAR",26365.86
"LDSB","PBN","Departure","ROTAR",1744.23
"LDZA","PBN","Departure","ROTAR",5413.24
"LDSB","Current","Departure","ROTAR 1",821.53
"LDSP","Current","Departure","ROTAR 1",11001.54
"LDSB","PBN","Departure","ROTAR 1",821.53
"LDSP","PBN","Departure","ROTAR 1",11001.54
"LDDU","Current","Arrival","SABAD",6754.97
"LDSB","Current","Arrival","SABAD",528.63
"LDSP","Current","Arrival","SABAD",17239.11
"LDZD","Current","Arrival","SABAD",424.9
"LDDU","PBN","Arrival","SABAD",6754.97
"LDSB","PBN","Arrival","SABAD",528.63
"LDSP","PBN","Arrival","SABAD",17239.11
"LDZD","PBN","Arrival","SABAD",424.9
"LDDU","Current","Departure","SABAD",11559.49
"LDDU","PBN","Departure","SABAD",11559.49
"LDSP","Current","Departure","SABAD 1",4841.28
