"Time","Sector","Entries","Scenario","Runway"
"09:30","TMA_ZAGREB",12,"Current","1"
"09:30","TMA_PULA",24,"Current","1"
"09:30","TMA_DUBROVNIK",20,"Current","1"
"09:30","TMA_SPLIT",18,"Current","1"
"09:30","TMA_ZADAR",8,"Current","1"
"09:30","TMA_OSIJEK",4,"Current","1"
"09:40","TMA_ZAGREB",12,"Current","1"
"09:40","TMA_PULA",24,"Current","1"
"09:40","TMA_DUBROVNIK",17,"Current","1"
"09:40","TMA_SPLIT",18,"Current","1"
"09:40","TMA_ZADAR",10,"Current","1"
"09:40","TMA_OSIJEK",5,"Current","1"
"09:50","TMA_ZAGREB",11,"Current","1"
"09:50","TMA_PULA",22,"Current","1"
"09:50","TMA_DUBROVNIK",20,"Current","1"
"09:50","TMA_SPLIT",19,"Current","1"
"09:50","TMA_ZADAR",11,"Current","1"
"09:50","TMA_OSIJEK",5,"Current","1"
"10:00","TMA_ZAGREB",8,"Current","1"
"10:00","TMA_PULA",20,"Current","1"
"10:00","TMA_DUBROVNIK",19,"Current","1"
"10:00","TMA_SPLIT",18,"Current","1"
"10:00","TMA_ZADAR",10,"Current","1"
"10:00","TMA_OSIJEK",4,"Current","1"
"10:10","TMA_ZAGREB",8,"Current","1"
"10:10","TMA_PULA",17,"Current","1"
"10:10","TMA_DUBROVNIK",18,"Current","1"
"10:10","TMA_SPLIT",16,"Current","1"
"10:10","TMA_ZADAR",10,"Current","1"
"10:10","TMA_OSIJEK",4,"Current","1"
"10:20","TMA_ZAGREB",10,"Current","1"
"10:20","TMA_PULA",15,"Current","1"
"10:20","TMA_DUBROVNIK",15,"Current","1"
"10:20","TMA_SPLIT",14,"Current","1"
"10:20","TMA_ZADAR",9,"Current","1"
"10:20","TMA_OSIJEK",4,"Current","1"
"10:30","TMA_ZAGREB",11,"Current","1"
"10:30","TMA_PULA",13,"Current","1"
"10:30","TMA_DUBROVNIK",12,"Current","1"
"10:30","TMA_SPLIT",16,"Current","1"
"10:30","TMA_ZADAR",9,"Current","1"
"10:30","TMA_OSIJEK",3,"Current","1"
"10:40","TMA_ZAGREB",12,"Current","1"
"10:40","TMA_PULA",14,"Current","1"
"10:40","TMA_DUBROVNIK",13,"Current","1"
"10:40","TMA_SPLIT",16,"Current","1"
"10:40","TMA_ZADAR",6,"Current","1"
"10:40","TMA_OSIJEK",2,"Current","1"
"10:50","TMA_ZAGREB",18,"Current","1"
"10:50","TMA_PULA",14,"Current","1"
"10:50","TMA_DUBROVNIK",9,"Current","1"
"10:50","TMA_SPLIT",16,"Current","1"
"10:50","TMA_ZADAR",7,"Current","1"
"10:50","TMA_OSIJEK",2,"Current","1"
"11:00","TMA_ZAGREB",18,"Current","1"
"11:00","TMA_PULA",14,"Current","1"
"11:00","TMA_DUBROVNIK",8,"Current","1"
"11:00","TMA_SPLIT",19,"Current","1"
"11:00","TMA_ZADAR",8,"Current","1"
"11:00","TMA_OSIJEK",2,"Current","1"
"11:10","TMA_ZAGREB",21,"Current","1"
"11:10","TMA_PULA",13,"Current","1"
"11:10","TMA_DUBROVNIK",10,"Current","1"
"11:10","TMA_SPLIT",22,"Current","1"
"11:10","TMA_ZADAR",9,"Current","1"
"11:10","TMA_OSIJEK",2,"Current","1"
"11:20","TMA_ZAGREB",19,"Current","1"
"11:20","TMA_PULA",15,"Current","1"
"11:20","TMA_DUBROVNIK",9,"Current","1"
"11:20","TMA_SPLIT",22,"Current","1"
"11:20","TMA_ZADAR",9,"Current","1"
"11:20","TMA_OSIJEK",2,"Current","1"
"11:30","TMA_ZAGREB",16,"Current","1"
"11:30","TMA_PULA",17,"Current","1"
"11:30","TMA_DUBROVNIK",12,"Current","1"
"11:30","TMA_SPLIT",20,"Current","1"
"11:30","TMA_ZADAR",10,"Current","1"
"11:30","TMA_OSIJEK",2,"Current","1"
